ID,Title,Organizers,URL,Full day/Half day
2,2nd InternationalWorkshop on Dynamic Shape Capture and Analysis (4DMOD),"Prof. Slobodan Ilic (principal contact)
Edmond Boyer
Adrian Hilton",,FD
3,300 Faces in-the-Wild Challenge (300-W),"Prof. Maja Pantic
Georgios Tzimiropoulos
Stefanos Zafeiriou",,FD
4,3rd Workshop on Consumer Depth Cameras for Computer Vision (CDC4CV),"Dr. Andrea Fossati
Juergen Gall
Helmut Grabner
Miles Hansard",,FD
6,4th Workshop on Computer Vision in Vehicle Technology: From Earth to Mars,"Dr. David Gerónimo
Atsushi Imiya
Antonio M. López
Theo Gevers
Urbano Nunes
Dariu M. Gavrila
Tomas Pajdla
Steven Beauchemin",,FD
8,The First International Workshop on Action Recognition with Large Number of Action Classes,"Dr. Ivan Laptev
Massimo Piccardi
Mubarak Shah
Rahul Sukthankar",,FD
9,Workshop on Wearable Computer Vision Systems (WCVS),"Prof. Ana C. Murillo
Javier Civera
Mohammad Moghimi
Serge Belongie",,FD
12,Workshop on Model-free Visual Object Tracking (VOT),"Dr. Roman Pflugfelder
Matej Kristan
Aleš Leonardis
Jiri Matas
Fatih Porikli",,FD
14,VisDA: 1st InternationalWorkshop on Visual Domain Adaptation,"Brian Kulis
Dr. Ruonan Li
Kate Saenko
Fei Sha",http://visda2013.seas.harvard.edu ,FD
15,2nd International Workshop on Large-Scale Video Search and Mining (LSVSM),"Prof. Junsong Yuan
John Smith
Shih-Fu Chang",,FD
18,Large Scale Visual Commerce (LSVC),"Dr. Anurag Bhardwaj
Robinson Piramuthu
Serge J. Belongie
Tsuhan Chen",,FD
19,Underwater Vision Workshop,"Prof. Stefan Williams
Navid Nourani-Vatani
Ariell Friedman
Daniel Steinberg
Oscar Pizarro",,FD
20,Vision-Based Sports Analytics,"Dr. Patrick Lucey
Peter Carr
Iain Matthews
Stuart Morgan",,FD
21,ImageNet Large Scale Visual Recognition Challenge 2013 (ILSVRC2013) Workshop,"Ms. Olga Russakovsky
Jonathan Krause
Jia Deng
Alex Berg
FeiFei Li",,FD
25,4th Workshop on 3D Representation and Recognition (3dRR-13),"Dr. Min Sun
Michael Stark
Silvio Savarese",http://www.eecs.umich.edu/vision/3dRR13/3dRR13.html  ,FD
26,Extracting the Subtle from Interactions between People,"Prof. D.A. Forsyth
Jim Rehg",,FD
27,Reconstruction Meets Recognition Challenge,"Prof. Raquel Urtasun
Rob Fergus
Antonio Torralba
Andreas Geiger
Philip Lenz
Nathan Silberman
Jianxiong Xiao",,FD
28,Big Data in 3D ComputerVision Workshop,"Prof. Jian Zhang
Zhengyou Zhang
Lixin Fan
Qiang Wu",,FD
30,Workshop on Computer Vision for Autonomous Driving,"Dr. Bart Nabbe
Yaser Sheikh",,FD
34,1st Workshop on Understanding Human Activities: Context and Interactions,"Mr. Sameh Khamis
Mohamed R. Amer
Wongun Choi
Tian Lan",,FD
35,The 5th International Workshop on Video Event Categorization# Tagging and Retrieval for Depth Cameras (VECTaR 2013),"Prof. Liang Wang
Tieniu Tan
Thomas S. Huang",http://www.computing.dundee.ac.uk/staff/jgzhang/VECTaR2013.htm  ,FD
10,IEEE Workshop on Computer Vision for Converging Perspectives,"Dr. Anil Cheriyadat
Shawn Newsam
Mei Han",,HD
22,Inference for probabilistic graphical models (PGMs),"Dr. Qinfeng (Javen) Shi 
Chunhua Shen 
Stephen Gould 
Jason L Williams 
Tiberio Caetano",,HD
32,Graphical models for scene understanding: challenges and perspectives,"Prof. Nikos Komodakis 
Christoph Schnoerr
Carsten Rother
Raquel Urtasun
Bogdan Savchynskyy",,HD
33,Color and Photometry in Computer Vision,"Prof. Theo Gevers
Joost van de Weijer
Todd Zickler",,HD
