Sameer,Agarwal,"Google, USA"
Ronen,Basri,"Weizmann Institute of Science, Israel"
Alex,Berg,"Stony Brook University, USA"
Tamara,Berg,"Stony Brook University, USA"
Michael,Brown,"NUS, Singapore"
Jason,Corso,"SUNY at Buffalo, USA"
Daniel,Cremers,"TU Munich, Germany"
Irfan,Essa,"Georgia Tech, USA"
Mark,Everingham,"Univ. Leeds, UK"
Rob,Fergus,"NYU, USA"
Cornelia,Fermuller,"Univ. Maryland, USA"
Vittorio,Ferrari,"ETHZ, Switzerland"
David,Forsyth,"UIUC, USA"
Leo,Grady,"Siemens, USA"
Kristen,Grauman,"Univ. Texas at Austin, USA"
James,Hayes,"Brown Univ., USA"
Derek,Hoiem,"UIUC, USA"
Katsushi,Ikeuchi,"Tokyo Univ., Japan"
Hiroshi,Ishikawa,"Waseda University, Japan"
Pushmeet,Kohli,"Microsoft Research, UK"
Vladimir,Kolmogorov,"IST, Austria"
Ivan,Laptev,"INRIA, France"
Svetlana,Lazebnik,"UIUC, USA"
Erik,Learned-Miller,"University of Massachussets, USA"
Kyoung Mu ,Lee,"Seoul National University, Korea"
Vincent,Lepetit,"ETHZ, Switzerland"
Fei-Fei,Li,"Stanford Univ., USA"
Jitendra,Malik,"Univ. Berkeley, USA"
Aleix,Martinez,"Ohio State, USA"
Yasuyuki,Matsushita,"Microsoft Research, China"
Srinivasa,Narasimhan,"CMU, USA"
Pietro,Perona,"Caltech, USA"
Marc,Pollefeys,"ETH Zurich, Switzerland"
Jean,Ponce,"ENS, France"
Deva,Ramanan,"Univ. California at Irvine, USA"
Stefan,Roth,"TU Darmstadt, Germany"
Yuichi,Sato,"Univ. Tokyo, Japan"
Silvio,Savarese,"Univ. Michigan, USA"
Bernt,Schiele,"MPI, Germany"
Cordelia,Schmid,"INRIA, France"
Steve,Seitz,"Univ. Washington, USA"
Jamie,Shotton,"Microsoft Research, UK"
Josef,Sivic,"ENS, France"
Noah,Snavely,"Brown Univ., USA"
Erik,Sudderth,"Brown Univ., USA"
Antonio,Torralba,"MIT, USA"
Tinne,Tuytelaars,"K.U. Leuven, Belgium"
Andrea,Vedaldi,"Oxford Univ., UK"
Rene,Vidal,"Johns Hopkins Univ., USA"
Todd,Zickler,"Harvard Univ. , USA"
Larry,Zitnick,"Microsoft Research, USA"
